catalog,po,line,severity,rule,message,source,plural_source,translations,findings_in_same_entry
locale-langpack/NetworkManager,po/locale-langpack/NetworkManager.po,87,warning,typo,Possible typo(s): rutttyp,%s is not a valid route type,,"{""None"": ""%s är inte en giltig rutttyp""}",F035
locale-langpack/NetworkManager,po/locale-langpack/NetworkManager.po,330,warning,punctuation-mismatch,Source contains ':' but translation does not,'%s' is not valid: properties should be specified as 'key=value',,"{""None"": ""”%s” är ogiltig; egenskaper ska anges som ”nyckel=värde”""}",
locale-langpack/NetworkManager,po/locale-langpack/NetworkManager.po,333,info,numeric-mismatch,"Numbers {'3', '2'} from source missing in translation",'%s' is not valid; 2 or 3 strings should be provided,,"{""None"": ""”%s” är ogiltig; Två eller tre strängar ska anges""}",
locale-langpack/NetworkManager,po/locale-langpack/NetworkManager.po,339,warning,xml-tags-mismatch,"XML/HTML tags mismatch: source has ['<option>', '<value>'], translation has ['<flagga>']",'%s' is not valid; use <option>=<value>,,"{""None"": ""”%s” är inte giltigt; använd <flagga>=<värde>""}",
locale-langpack/NetworkManager,po/locale-langpack/NetworkManager.po,474,warning,xml-tags-mismatch,"XML/HTML tags mismatch: source has ['<ap>', '<command>', '<conf>', '<ifname>', '<nsp>', '<prop>', '<prop>', '<prop>', '<prop>', '<prop>', '<prop>', '<setting>', '<setting>', '<setting>', '<setting>', '<setting>', '<value>', '<value>'], translation has ['<ap>', '<egenskap>', '<egenskap>', '<egenskap>', '<egenskap>', '<egenskap>', '<egenskap>', '<grnamn>', '<kommando>', '<konf>', '<nsp>']","---[ Main menu ]---
goto     [<setting> | <prop>]        :: go to a setting or property
remove   <setting>[.<prop>] | <prop> :: remove setting or reset property value
set      [<setting>.<prop> <value>]  :: set property value
describe [<setting>.<prop>]          :: describe property
print    [all | <setting>[.<prop>]]  :: print the connection
verify   [all | fix]                 :: verify the connection
save     [persistent|temporary]      :: save the connection
activate [<ifname>] [/<ap>|<nsp>]    :: activate the connection
back                                 :: go one level up (back)
help/?   [<command>]                 :: print this help
nmcli    <conf-option> <value>       :: nmcli configuration
quit                                 :: exit nmcli
",,"{""None"": ""---[ Huvudmeny ]---\ngoto     [<inställning> | <egenskap>]        :: gå till inställning eller egenskap\nremove   <inställning>[.<egenskap>] | <egenskap> :: ta bort inställning eller återställ egenskapsvärde\nset      [<inställning>.<egenskap> <värde>]  :: sätt egenskapsvärde\ndescribe [<inställning>.<egenskap>]          :: beskriv egenskap\nprint    [all | <inställning>[.<egenskap>]]  :: skriv ut anslutning\nverify   [all | fix]                         :: verifiera anslutning\nsave     [persistent|temporary]      :: spara anslutning\nactivate [<grnamn>] [/<ap>|<nsp>]    :: aktivera anslutning\nback                                 :: gå upp en nivå (backa)\nhelp/?   [<kommando>]                :: skriv ut denna hjälp\nnmcli    <konf-flagga> <värde>       :: nmcli-konfiguration\nquit                                 :: avsluta nmcli\n""}",
locale-langpack/NetworkManager,po/locale-langpack/NetworkManager.po,503,warning,xml-tags-mismatch,"XML/HTML tags mismatch: source has ['<command>', '<index>', '<option>', '<value>', '<value>'], translation has ['<flagga>', '<index>', '<kommando>']","---[ Property menu ]---
set      [<value>]               :: set new value
add      [<value>]               :: add new option to the property
change                           :: change current value
remove   [<index> | <option>]    :: delete the value
describe                         :: describe property
print    [setting | connection]  :: print property (setting/connection) value(s)
back                             :: go to upper level
help/?   [<command>]             :: print this help or command description
quit                             :: exit nmcli
",,"{""None"": ""---[ Egenskapsmeny ]---\nset      [<värde>]               :: sätt nytt värde\nadd      [<värde>]               :: lägg till nytt alternativ till egenskapen\nchange                           :: ändra aktuellt värde\nremove   [<index> | <flagga>]    :: ta bort värdet\ndescribe                         :: beskriv egenskapen\nprint    [setting | connection]  :: skriv ut inställnings/anslutnings-värden för egenskap)\nback                             :: gå upp en nivå\nhelp/?   [<kommando>]            :: skriv ut denna hjälp- eller kommandobeskrivning\nquit                             :: avsluta nmcli\n""}",
locale-langpack/NetworkManager,po/locale-langpack/NetworkManager.po,541,info,source-equals-translation,Translation is identical to source (possibly untranslated),6LoWPAN,,"{""None"": ""6LoWPAN""}",
locale-langpack/NetworkManager,po/locale-langpack/NetworkManager.po,595,info,mixed-quotes,Translation has mixed quote styles,"A connection of type '%s' cannot have an ovs-interface.type ""%s""",,"{""None"": ""En anslutning av typen ”%s” kan inte ha att ovs-interface.type är \""%s\""""}",
locale-langpack/NetworkManager,po/locale-langpack/NetworkManager.po,598,info,mixed-quotes,Translation has mixed quote styles,"A connection of type '%s' cannot have ovs-interface.type ""system""",,"{""None"": ""En anslutning av typen ”%s” kan inte ha att ovs-interface.type är \""system\""""}",
locale-langpack/NetworkManager,po/locale-langpack/NetworkManager.po,601,info,mixed-quotes,Translation has mixed quote styles,"A connection with '%s' setting must be of connection.type ""ovs-interface"" but is ""%s""",,"{""None"": ""En anslutning med ”%s”-inställning måste ha att connection.type är \""ovs-interface\"" men den är ”%s”""}",
locale-langpack/NetworkManager,po/locale-langpack/NetworkManager.po,652,info,ellipsis,Use typographic ellipsis (…) instead of three dots (...),"A list of IPv4 destination addresses, prefix length, optional IPv4 next hop addresses, optional route metric, optional attribute. The valid syntax is: ""ip[/prefix] [next-hop] [metric] [attribute=val]...[,ip[/prefix]...]"". For example ""192.0.2.0/24 10.1.1.1 77, 198.51.100.0/24"".",,"{""None"": ""En lista över IPv4-destinationsadresser, prefixlängd, valfria IPv4 nästa hopp-adresser, valfritt ruttmått, valfritt attribut. Den giltiga syntaxen är: \""ip[/prefix] [next-hop] [metric] [attribut=val]...[,ip[/prefix]...]\"". Till exempel \""192.0.2.0/24 10.1.1.1 77, 198.51.100.0/24\"".""}",
locale-langpack/NetworkManager,po/locale-langpack/NetworkManager.po,670,info,mixed-quotes,Translation has mixed quote styles,"A list of kernel command line arguments to match. This may be used to check whether a specific kernel command line option is set (or unset, if prefixed with the exclamation mark). The argument must either be a single word, or an assignment (i.e. two words, joined by ""=""). In the former case the kernel command line is searched for the word appearing as is, or as left hand side of an assignment. In the latter case, the exact assignment is looked for with right and left hand side matching. Wildcard patterns are not supported. See NMSettingMatch:interface-name for how special characters '|', '&', '!' and '\' are used for optional and mandatory matches and inverting the match.",,"{""None"": ""En lista över kärnans kommandoradsargument att matcha. Detta kan användas för att kontrollera om ett specifikt kommandoradsalternativ för kärnan är inställt (eller inaktiverat, om det har utropstecken före). Argumentet måste antingen vara ett enstaka ord eller en tilldelning (dvs två ord, förenade med \""=\""). I det förra fallet söks kärnans kommandorad efter ordet som visas som det är, eller som vänster sida av en uppgift. I det senare fallet letar man efter den exakta tilldelningen med höger- och vänstersidig matchning. Jokerteckenmönster stöds inte. Se NMSettingMatch:interface-name för hur specialtecken ”|”, ”&”, ”!” och ”\\” används för valfria och obligatoriska matchningar och invertering av matchningen.""}",
locale-langpack/NetworkManager,po/locale-langpack/NetworkManager.po,676,info,mixed-quotes,Translation has mixed quote styles,"A list of paths to match against the ID_PATH udev property of devices. ID_PATH represents the topological persistent path of a device. It typically contains a subsystem string (pci, usb, platform, etc.) and a subsystem-specific identifier. For PCI devices the path has the form ""pci-$domain:$bus:$device.$function"", where each variable is an hexadecimal value; for example ""pci-0000:0a:00.0"". The path of a device can be obtained with ""udevadm info /sys/class/net/$dev | grep ID_PATH="" or by looking at the ""path"" property exported by NetworkManager (""nmcli -f general.path device show $dev""). Each element of the list is a shell wildcard pattern. See NMSettingMatch:interface-name for how special characters '|', '&', '!' and '\' are used for optional and mandatory matches and inverting the pattern.",,"{""None"": ""En lista över sökvägar att matcha mot ID_PATH udev-egenskapen för enheter. ID_PATH representerar den topologiska beständiga sökvägen för en enhet. Den innehåller vanligtvis en delsystemsträng (pci, usb, plattform, o.s.v.) och en delsystemspecifik identifierare. För PCI-enheter har sökvägen formen \""pci-$domain:$bus:$device.$function\"", där varje variabel är ett hexadecimalt värde; till exempel \""pci-0000:0a:00.0\"". Sökvägen till en enhet kan erhållas med \""udevadm info /sys/class/net/$dev | grep ID_PATH=\"" eller genom att titta på egenskapen \""path\"" exporterad av Nätverkshanteraren (\""nmcli -f general.path device show $dev\""). Varje element i listan är ett skal-jokerteckenmönster. Se NMSettingMatch:interface-name för hur specialtecken ”|”, ”&”, ”!” och ”\\” används för valfria och obligatoriska matchningar och invertering av mönstret.""}",
locale-langpack/NetworkManager,po/locale-langpack/NetworkManager.po,703,info,mixed-quotes,Translation has mixed quote styles,"A string sent to the DHCP server to identify the local machine which the DHCP server may use to customize the DHCP lease and options. When the property is a hex string ('aa:bb:cc') it is interpreted as a binary client ID, in which case the first byte is assumed to be the 'type' field as per RFC 2132 section 9.14 and the remaining bytes may be an hardware address (e.g. '01:xx:xx:xx:xx:xx:xx' where 1 is the Ethernet ARP type and the rest is a MAC address). If the property is not a hex string it is considered as a non-hardware-address client ID and the 'type' field is set to 0. The special values ""mac"" and ""perm-mac"" are supported, which use the current or permanent MAC address of the device to generate a client identifier with type ethernet (01). Currently, these options only work for ethernet type of links. The special value ""ipv6-duid"" uses the DUID from ""ipv6.dhcp-duid"" property as an RFC4361-compliant client identifier. As IAID it uses ""ipv4.dhcp-iaid"" and falls back to ""ipv6.dhcp-iaid"" if unset. The special value ""duid"" generates a RFC4361-compliant client identifier based on ""ipv4.dhcp-iaid"" and uses a DUID generated by hashing /etc/machine-id. The special value ""stable"" is supported to generate a type 0 client identifier based on the stable-id (see connection.stable-id) and a per-host key. If you set the stable-id, you may want to include the ""${DEVICE}"" or ""${MAC}"" specifier to get a per-device key. The special value ""none"" prevents any client identifier from being sent. Note that this is normally not recommended. If unset, a globally configured default from NetworkManager.conf is used. If still unset, the default depends on the DHCP plugin. The internal dhcp client will default to ""mac"" and the dhclient plugin will try to use one from its config file if present, or won't sent any client-id otherwise.",,"{""None"": ""En sträng som skickas till DHCP-servern för att identifiera den lokala maskin som DHCP-servern kan använda för att anpassa DHCP-leasing och alternativ. När egenskapen är en hexadecimal sträng (”aa:bb:cc”) tolkas den som ett binärt klient-ID, i vilket fall den första byten antas vara ”typ”-fältet enligt RFC 2132 avsnitt 9.14 och de återstående byten kan vara en hårdvaruadress (t.ex. ”01:xx:xx:xx:xx:xx:xx” där 1 är Ethernet ARP-typ och resten är en MAC-adress). Om egenskapen inte är en hexadecimal sträng betraktas den som ett klient-ID utan hårdvaruadress och ”typ”-fältet är satt till 0. Specialvärdena \""mac\"" och \""perm-mac\"" stöds, som använder den aktuella eller permanent MAC-adress för enheten för att generera en klientidentifierare med typen ethernet (01). För närvarande fungerar dessa alternativ endast för länkar av ethernettyp. Det speciella värdet \""ipv6-duid\"" använder DUID från egenskapen \""ipv6.dhcp-duid\"" som en RFC4361-kompatibel klientidentifierare. Som IAID använder den \""ipv4.dhcp-iaid\"" och faller tillbaka till \""ipv6.dhcp-iaid\"" om den inte är inställd. Det speciella värdet \""duid\"" genererar en RFC4361-kompatibel klientidentifierare baserad på \""ipv4.dhcp-iaid\"" och använder en DUID som genereras av hashing /etc/machine-id. Det speciella värdet \""stable\"" stöds för att generera en klientidentifierare av typ 0 baserat på stable-id (se connection.stable-id) och en per-värdnyckel. Om du ställer in stable-id, kanske du vill inkludera \""${DEVICE}\"" eller \""${MAC}\""-specifikationen för att få en nyckel per enhet. Det speciella värdet \""none\"" förhindrar att någon klientidentifierare skickas. Observera att detta normalt inte rekommenderas. Om den inte är inställd används en globalt konfigurerad standard från NetworkManager.conf. Om den fortfarande inte är inställd beror standardinställningen på DHCP-insticksmodul. Den interna dhcp-klienten kommer som standard att vara \""mac\"" och dhclient-insticksmodulen kommer att försöka använda en från sin konfigurationsfil om den finns, eller kommer annars inte att skicka något klient-id.""}",
locale-langpack/NetworkManager,po/locale-langpack/NetworkManager.po,775,warning,inconsistent-capitalization,"Source starts with uppercase, translation with lowercase",Ad-Hoc mode requires 'none' or 'wpa-psk' key management,,"{""None"": ""802.1x-inställning kräver ”none” eller ”wpa-eap”-nyckelhantering""}",
locale-langpack/NetworkManager,po/locale-langpack/NetworkManager.po,844,info,mixed-quotes,Translation has mixed quote styles,"An array of strings defining what access a given user has to this connection.  If this is NULL or empty, all users are allowed to access this connection; otherwise users are allowed if and only if they are in this list.  When this is not empty, the connection can be active only when one of the specified users is logged into an active session.  Each entry is of the form ""[type]:[id]:[reserved]""; for example, ""user:dcbw:blah"". At this time only the ""user"" [type] is allowed.  Any other values are ignored and reserved for future use.  [id] is the username that this permission refers to, which may not contain the "":"" character. Any [reserved] information present must be ignored and is reserved for future use.  All of [type], [id], and [reserved] must be valid UTF-8.",,"{""None"": ""En vektor av strängar vilka definierar vilken åtkomst en given användare har för denna anslutning. Om denna är NULL eller tom är alla användare tillåtna att komma åt anslutningen. När den inte är tom kan anslutningen endast vara aktiv när en av de specificerade användarna är inloggad i en aktiv session. Annars är användare tillåtna att komma åt anslutningen om och endast om de finns i denna lista. Varje post är på formen \""[typ]:[id]:[reserverad]\""; exempelvis \""user:dcbw:blah\"". För tillfället är endast typen ”user” tillåten. Andra värden ignoreras och reserveras för framtida användning. [id] är användarnamnet som denna rättighet hänvisar till, vilket inte får innehålla tecknet ”:”. Varje [reserverad]-information måste ignoreras och är reserverad för framtida användning. Alla av [typ], [id] och [reserverad] måste vara giltig UTF-8.""}",
locale-langpack/NetworkManager,po/locale-langpack/NetworkManager.po,874,info,ellipsis,Use typographic ellipsis (…) instead of three dots (...),"Array of bridge VLAN objects. In addition to the VLANs specified here, the bridge will also have the default-pvid VLAN configured  by the bridge.vlan-default-pvid property. In nmcli the VLAN list can be specified with the following syntax: $vid [pvid] [untagged] [, $vid [pvid] [untagged]]... where $vid is either a single id between 1 and 4094 or a range, represented as a couple of ids separated by a dash.",,"{""None"": ""Uppsättning av VLAN-bryggobjekt. Utöver de VLAN som anges här kommer bryggan också att ha standard-pvid VLAN konfigurerat av egenskapen bridge.vlan-default-pvid. I nmcli kan VLAN-listan specificeras med följande syntax: $vid [pvid] [otaggad] [, $vid [pvid] [otaggad]]... där $vid antingen är ett enda id mellan 1 och 4094 eller ett intervall, representerad som ett par id åtskilda av ett bindestreck.""}",
locale-langpack/NetworkManager,po/locale-langpack/NetworkManager.po,877,info,ellipsis,Use typographic ellipsis (…) instead of three dots (...),"Array of bridge VLAN objects. In addition to the VLANs specified here, the port will also have the default-pvid VLAN configured on the bridge by the bridge.vlan-default-pvid property. In nmcli the VLAN list can be specified with the following syntax: $vid [pvid] [untagged] [, $vid [pvid] [untagged]]... where $vid is either a single id between 1 and 4094 or a range, represented as a couple of ids separated by a dash.",,"{""None"": ""Uppsättning av VLAN-bryggobjekt. Utöver de VLAN som anges här kommer porten också att ha standard-pvid VLAN konfigurerat på bryggan av egenskapen bridge.vlan-default-pvid. I nmcli kan VLAN-listan specificeras med följande syntax: $vid [pvid] [otaggad] [, $vid [pvid] [otaggad]]... där $vid antingen är ett enda id mellan 1 och 4094 eller ett intervall, representerad som ett par id åtskilda av ett bindestreck.""}",
locale-langpack/NetworkManager,po/locale-langpack/NetworkManager.po,883,info,mixed-quotes,Translation has mixed quote styles,"Array of virtual function descriptors. Each VF descriptor is a dictionary mapping attribute names to GVariant values. The 'index' entry is mandatory for each VF. When represented as string a VF is in the form: ""INDEX [ATTR=VALUE[ ATTR=VALUE]...]"". for example: ""2 mac=00:11:22:33:44:55 spoof-check=true"". Multiple VFs can be specified using a comma as separator. Currently, the following attributes are supported: mac, spoof-check, trust, min-tx-rate, max-tx-rate, vlans. The ""vlans"" attribute is represented as a semicolon-separated list of VLAN descriptors, where each descriptor has the form ""ID[.PRIORITY[.PROTO]]"". PROTO can be either 'q' for 802.1Q (the default) or 'ad' for 802.1ad.",,"{""None"": ""Uppsättning av virtuella funktionsbeskrivningar. Varje VF-deskriptor är en ordbok som mappar attributnamn till GVariant-värden. \""Index\""-posten är obligatorisk för varje VF. När den representeras som sträng är en VF i formen: \""INDEX [ATTR=VÄRDE[ ATTR=VÄRDE]...]\"". till exempel: \""2 mac=00:11:22:33:44:55 spoof-check=true\"". Flera VF kan specificeras med ett kommatecken som avgränsare. För närvarande stöds följande attribut: mac, spoof-check, trust, min-tx-rate, max-tx-rate, vlans. \""vlans\""-attributet representeras som en semikolonseparerad lista över VLAN-deskriptorer, där varje deskriptor har formen \""ID[.PRIORITET[.PROTO]]\"". PROTO kan vara antingen ”q” för 802.1Q (standard) eller ”ad” för 802.1ad.""}",
