o:nextcloud:p:nextcloud:r:gpgmailer:s:19e9678cd07e6e5b8b4e0a5c74c9f160	Det gick inte att spara den offentliga nyckeln
o:nextcloud:p:nextcloud:r:gpgmailer:s:f974e18f1201226dab6342ebd98231c5	GPG Mailer
o:nextcloud:p:nextcloud:r:gpgmailer:s:88b5d3b1b7449ef1c162304396d7ba63	Skicka krypterade e-postmeddelanden till registrerade användare
o:nextcloud:p:nextcloud:r:gpgmailer:s:25c04a26a224cfed8b6868d105bacbf1	Om användaren laddar upp en offentlig nyckel krypteras och signeras e-postmeddelanden till användaren.\\nAlla andra e-postmeddelanden signeras.\\nDen här appen är beroende av GnuPG.
o:nextcloud:p:nextcloud:r:gpgmailer:s:8d3027bcde7702e8090a1bb54516eb65	Serverns GPG-nycklar
o:nextcloud:p:nextcloud:r:gpgmailer:s:7d74959443530aa1d3307bf136f679da	Offentliga GPG-nycklar
o:nextcloud:p:nextcloud:r:gpgmailer:s:c64641614bc3dc68dfbea1444b64d9cf	För att aktivera krypterade e-postmeddelanden måste du ladda upp din offentliga nyckel nedan.
o:nextcloud:p:nextcloud:r:gpgmailer:s:78e53dec28299920c8bbb0c4feb1629f	Din offentliga GPG-nyckel
o:nextcloud:p:nextcloud:r:gpgmailer:s:3c8456ffd3055fc73f56b5e527328e4d	Hämta servernyckeln
